job_id,title,company_location,experience_level,employment_type,salary_min,salary_max,currency,skills,job_category
JOB016215,Data Analyst,US,EN,FT,92300.0,92300.0,USD,[],Data Analyst
JOB016216,Data Analyst,US,EN,FT,82000.0,82000.0,USD,[],Data Analyst
JOB016217,Data Analyst,US,EN,FT,83300.0,83300.0,USD,[],Data Analyst
JOB016218,Data Analyst,US,EN,FT,47500.0,47500.0,USD,[],Data Analyst
JOB016219,Software Engineer,US,MI,FT,130000.0,130000.0,USD,[],Data Engineer
JOB016220,Software Engineer,US,MI,FT,100000.0,100000.0,USD,[],Data Engineer
JOB016221,Software Engineer,US,SE,FT,300200.0,300200.0,USD,[],Data Engineer
JOB016222,Software Engineer,US,SE,FT,170700.0,170700.0,USD,[],Data Engineer
JOB016223,Software Engineer,US,SE,FT,300200.0,300200.0,USD,[],Data Engineer
JOB016224,Software Engineer,US,SE,FT,170700.0,170700.0,USD,[],Data Engineer
JOB016225,Machine Learning Engineer,US,SE,FT,300200.0,300200.0,USD,[],ML Engineer
JOB016226,Machine Learning Engineer,US,SE,FT,170700.0,170700.0,USD,[],ML Engineer
JOB016227,Software Engineer,US,SE,FT,284900.0,284900.0,USD,[],Data Engineer
JOB016228,Software Engineer,US,SE,FT,161700.0,161700.0,USD,[],Data Engineer
JOB016229,Software Engineer,US,SE,FT,364100.0,364100.0,USD,[],Data Engineer
JOB016230,Software Engineer,US,SE,FT,199800.0,199800.0,USD,[],Data Engineer
JOB016231,BI Developer,US,SE,FT,182000.0,182000.0,USD,[],Other
JOB016232,BI Developer,US,SE,FT,82000.0,82000.0,USD,[],Other
JOB016233,Data Scientist,US,MI,FT,120000.0,120000.0,USD,[],Data Scientist
JOB016234,Data Scientist,US,MI,FT,87509.0,87509.0,USD,[],Data Scientist
JOB016235,Data Scientist,US,MI,FT,235400.0,235400.0,USD,[],Data Scientist
JOB016236,Data Scientist,US,MI,FT,209720.0,209720.0,USD,[],Data Scientist
JOB016237,Data Scientist,US,MI,FT,196900.0,196900.0,USD,[],Data Scientist
JOB016238,Data Scientist,US,MI,FT,175457.0,175457.0,USD,[],Data Scientist
JOB016239,Data Scientist,US,MI,FT,235400.0,235400.0,USD,[],Data Scientist
JOB016240,Data Scientist,US,MI,FT,209720.0,209720.0,USD,[],Data Scientist
JOB016241,Data Scientist,US,SE,FT,235400.0,235400.0,USD,[],Data Scientist
